ANO;MÊS;PRODUTO;OPERAÇÃO COMERCIAL;IMPORTADO / EXPORTADO;DISPÊNDIO / RECEITA
2005;MAI;PETRÓLEO;IMPORTAÇÃO;2484859,851;841942889
2005;MAR;PETRÓLEO;IMPORTAÇÃO;1766655,79;547541989
2005;NOV;PETRÓLEO;IMPORTAÇÃO;1850647,632;727727774
2005;OUT;PETRÓLEO;IMPORTAÇÃO;1535076,291;643372052
2005;SET;PETRÓLEO;IMPORTAÇÃO;1283664,961;537163205
2006;ABR;PETRÓLEO;EXPORTAÇÃO;1315794,929;402139078
2006;AGO;PETRÓLEO;EXPORTAÇÃO;1906646,851;725090370
2006;DEZ;PETRÓLEO;EXPORTAÇÃO;2594288,303;745331539
2006;FEV;PETRÓLEO;EXPORTAÇÃO;757099,8553;235088202
2006;JAN;PETRÓLEO;EXPORTAÇÃO;2645724,429;721417096
2006;JUL;PETRÓLEO;EXPORTAÇÃO;2374648,971;869938847
2006;JUN;PETRÓLEO;EXPORTAÇÃO;1236422,443;448002825
2006;MAI;PETRÓLEO;EXPORTAÇÃO;1114750,725;368935921
2006;MAR;PETRÓLEO;EXPORTAÇÃO;1166874,587;360583552
2006;NOV;PETRÓLEO;EXPORTAÇÃO;1887782,945;511483460
2006;OUT;PETRÓLEO;EXPORTAÇÃO;1704740,659;536180576
2006;SET;PETRÓLEO;EXPORTAÇÃO;2652932,182;970097246
2006;ABR;PETRÓLEO;IMPORTAÇÃO;1713594,453;723442757
2006;AGO;PETRÓLEO;IMPORTAÇÃO;2623888,965;1271029059
2006;DEZ;PETRÓLEO;IMPORTAÇÃO;873815,6313;334904856
2006;FEV;PETRÓLEO;IMPORTAÇÃO;1593435,498;611746491
2006;JAN;PETRÓLEO;IMPORTAÇÃO;1159936,392;461806420
2006;JUL;PETRÓLEO;IMPORTAÇÃO;1484157,25;689305175
2006;JUN;PETRÓLEO;IMPORTAÇÃO;1669938,328;783113799
2006;MAI;PETRÓLEO;IMPORTAÇÃO;1988829,264;889655485
2006;MAR;PETRÓLEO;IMPORTAÇÃO;2228251,38;901686256
2006;NOV;PETRÓLEO;IMPORTAÇÃO;2405519,63;1004485651
2006;OUT;PETRÓLEO;IMPORTAÇÃO;1797609,349;771930122
2006;SET;PETRÓLEO;IMPORTAÇÃO;1369143,4;644900149
2007;ABR;PETRÓLEO;EXPORTAÇÃO;2260141,543;695026639
2007;AGO;PETRÓLEO;EXPORTAÇÃO;2280964,383;874899327
2007;DEZ;PETRÓLEO;EXPORTAÇÃO;2722158,359;1346023676
2007;FEV;PETRÓLEO;EXPORTAÇÃO;1841972,34;484405508
2007;JAN;PETRÓLEO;EXPORTAÇÃO;2375267,124;708401020
2007;JUL;PETRÓLEO;EXPORTAÇÃO;1965175,441;702271728
2007;JUN;PETRÓLEO;EXPORTAÇÃO;1474994,756;488465839
2007;MAI;PETRÓLEO;EXPORTAÇÃO;1753458,071;570385642
2007;MAR;PETRÓLEO;EXPORTAÇÃO;1880798,67;542596040
2007;NOV;PETRÓLEO;EXPORTAÇÃO;1633206,874;755651537
2007;OUT;PETRÓLEO;EXPORTAÇÃO;2370797,831;1008655552
2007;SET;PETRÓLEO;EXPORTAÇÃO;1895253,899;728282955
2007;ABR;PETRÓLEO;IMPORTAÇÃO;1770476,762;741118050
2007;AGO;PETRÓLEO;IMPORTAÇÃO;1737637,4;848269267
2007;DEZ;PETRÓLEO;IMPORTAÇÃO;1976647,035;1197234885
2007;FEV;PETRÓLEO;IMPORTAÇÃO;1673133,601;644148803
2007;JAN;PETRÓLEO;IMPORTAÇÃO;2234933,634;914161052
2007;JUL;PETRÓLEO;IMPORTAÇÃO;2694782,249;1279594934
2007;JUN;PETRÓLEO;IMPORTAÇÃO;1626775,979;738921510
2007;MAI;PETRÓLEO;IMPORTAÇÃO;1970137,309;858937900
2007;MAR;PETRÓLEO;IMPORTAÇÃO;2501853,943;953878496
2007;NOV;PETRÓLEO;IMPORTAÇÃO;2227857,395;1307050922
2007;OUT;PETRÓLEO;IMPORTAÇÃO;2811274,779;1438669089
2007;SET;PETRÓLEO;IMPORTAÇÃO;2154152,981;1052030332
2008;ABR;PETRÓLEO;EXPORTAÇÃO;307365,3516;147273473
2008;AGO;PETRÓLEO;EXPORTAÇÃO;2688963,981;1950324900
2008;DEZ;PETRÓLEO;EXPORTAÇÃO;4055184,801;1166799569
